column,source_load,filled_cells
USUBJID,BASE_ROW,57991
AVISIT,BASE_ROW,57705
AVISITN,BASE_ROW,57705
ADAE_SAS7BDAT_STUDYID,BASE_ROW,696
ADAE_SAS7BDAT_AESTDTC,BASE_ROW,696
ADAE_SAS7BDAT_AEENDTC,BASE_ROW,658
ADAE_SAS7BDAT_ASTDT,BASE_ROW,696
ADAE_SAS7BDAT_ASTDTF,BASE_ROW,101
ADAE_SAS7BDAT_AESDT,BASE_ROW,693
ADAE_SAS7BDAT_AESDTM,BASE_ROW,299
ADAE_SAS7BDAT_ASTDY,BASE_ROW,654
ADAE_SAS7BDAT_A2STDY,BASE_ROW,653
ADAE_SAS7BDAT_AENDT,BASE_ROW,654
ADAE_SAS7BDAT_AENDY,BASE_ROW,625
ADAE_SAS7BDAT_A2ENDY,BASE_ROW,624
ADAE_SAS7BDAT_DOSENUM,BASE_ROW,636
ADAE_SAS7BDAT_DOSEAEON,BASE_ROW,636
ADAE_SAS7BDAT_DOSAEONU,BASE_ROW,636
ADAE_SAS7BDAT_DOSEAEDT,BASE_ROW,636
ADAE_SAS7BDAT_DOSEAEDY,BASE_ROW,636
ADAE_SAS7BDAT_DOS2AEDY,BASE_ROW,635
ADAE_SAS7BDAT_ADURN,BASE_ROW,651
ADAE_SAS7BDAT_ADURU,BASE_ROW,651
ADAE_SAS7BDAT_APERIOD,BASE_ROW,636
ADAE_SAS7BDAT_APERIODC,BASE_ROW,636
ADAE_SAS7BDAT_APHASE,BASE_ROW,636
ADAE_SAS7BDAT_APHASEN,BASE_ROW,636
ADAE_SAS7BDAT_TRT01A,BASE_ROW,654
ADAE_SAS7BDAT_TRT01AN,BASE_ROW,654
ADAE_SAS7BDAT_TR01AG1,BASE_ROW,654
ADAE_SAS7BDAT_TR01AG1N,BASE_ROW,654
ADAE_SAS7BDAT_TRT02A,BASE_ROW,249
ADAE_SAS7BDAT_TRT02AN,BASE_ROW,249
ADAE_SAS7BDAT_TR02AG1,BASE_ROW,249
ADAE_SAS7BDAT_TR02AG1N,BASE_ROW,249
ADAE_SAS7BDAT_TR02AG2,BASE_ROW,249
ADAE_SAS7BDAT_TR02AG2N,BASE_ROW,249
ADAE_SAS7BDAT_TRT03A,BASE_ROW,653
ADAE_SAS7BDAT_TRT03AN,BASE_ROW,653
ADAE_SAS7BDAT_T03ACG1,BASE_ROW,590
ADAE_SAS7BDAT_T03ACG1N,BASE_ROW,590
ADAE_SAS7BDAT_ARFST2DT,BASE_ROW,652
ADAE_SAS7BDAT_AETERM,BASE_ROW,696
ADAE_SAS7BDAT_AEHLGT,BASE_ROW,696
ADAE_SAS7BDAT_AEHLGTCD,BASE_ROW,696
ADAE_SAS7BDAT_AEHLT,BASE_ROW,696
ADAE_SAS7BDAT_AEHLTCD,BASE_ROW,696
ADAE_SAS7BDAT_AELLT,BASE_ROW,696
ADAE_SAS7BDAT_AELLTCD,BASE_ROW,696
ADAE_SAS7BDAT_AEDECOD,BASE_ROW,696
ADAE_SAS7BDAT_AEPTCD,BASE_ROW,696
ADAE_SAS7BDAT_AEBODSYS,BASE_ROW,696
ADAE_SAS7BDAT_AEBDSYCD,BASE_ROW,696
ADAE_SAS7BDAT_AESOC,BASE_ROW,696
ADAE_SAS7BDAT_AESOCCD,BASE_ROW,696
ADAE_SAS7BDAT_DOMAIN,BASE_ROW,694
ADAE_SAS7BDAT_AESPID,BASE_ROW,696
ADAE_SAS7BDAT_AESEQ,BASE_ROW,696
ADAE_SAS7BDAT_TRTEMFL,BASE_ROW,636
ADAE_SAS7BDAT_TRTE02FL,BASE_ROW,696
ADAE_SAS7BDAT_AESEV,BASE_ROW,696
ADAE_SAS7BDAT_ASEV,BASE_ROW,696
ADAE_SAS7BDAT_AEACN,BASE_ROW,696
ADAE_SAS7BDAT_AEREL,BASE_ROW,696
ADAE_SAS7BDAT_RELGR1,BASE_ROW,696
ADAE_SAS7BDAT_AEOUT,BASE_ROW,696
ADAE_SAS7BDAT_AEINF,BASE_ROW,696
ADAE_SAS7BDAT_AEINFTX,BASE_ROW,414
ADAE_SAS7BDAT_AEINJS,BASE_ROW,17
