dataset,total_vars,extracted_vars,missing_vars,extraction_rate,is_tall_format,n_params_pivoted,src_rows,src_cols,src_cells_total,src_cells_filled,src_fill_pct,missing_var_names,ard_cols_count,ard_cells_total,ard_cells_filled,ard_fill_pct,fill_efficiency
adae,101,101,0,100,FALSE,0,3765,102,384030,365019,95.05,,101,1885872,509269,27,139.52
adbdc,44,44,0,100,TRUE,112,52839,45,2377755,2152350,90.52,,151,2819472,1901726,67.45,88.36
adchem,80,80,0,100,TRUE,38,312889,83,25969787,24727637,95.22,,114,2128608,1542629,72.47,6.24
adcm,31,31,0,100,TRUE,25,24025,32,768800,737200,95.89,,52,970944,908697,93.59,123.26
adcort,33,33,0,100,FALSE,0,306112,34,10407808,9872572,94.86,,33,616176,410302,66.59,4.16
addeath,37,37,0,100,FALSE,0,2,38,76,70,92.11,,37,690864,895,0.13,1278.57
adds,63,63,0,100,FALSE,0,5422,64,347008,317369,91.46,,63,1176336,823042,69.97,259.33
addv,52,52,0,100,FALSE,0,244,53,12932,12253,94.75,,52,970944,120241,12.38,981.32
adecon,53,53,0,100,TRUE,10,71860,56,4024160,3509007,87.2,,58,1082976,555512,51.29,15.83
adeff,40,40,0,100,TRUE,104,40716,41,1669356,1554074,93.09,,138,2576736,1417274,55,91.2
adeq5d,53,53,0,100,TRUE,14,100548,56,5630688,5159058,91.62,,62,1157664,593131,51.24,11.5
adex,86,86,0,100,FALSE,0,7427,89,661003,616009,93.19,,86,1605792,1041928,64.89,169.14
adhema,77,77,0,100,TRUE,84,339219,80,27137520,25059559,92.34,,157,2931504,1500029,51.17,5.99
adhist,32,32,0,100,TRUE,6,4698,33,155034,146340,94.39,,34,634848,535482,84.35,365.92
adhist1,32,32,0,100,TRUE,6,4197,33,138501,130380,94.14,,34,634848,516855,81.41,396.42
adhist2,33,33,0,100,TRUE,24,9396,34,319464,293256,91.8,,52,970944,647312,66.67,220.73
adho,44,44,0,100,FALSE,0,154,45,6930,6465,93.29,,44,821568,62305,7.58,963.73
adibdq,49,49,0,100,TRUE,26,84746,52,4406792,4013222,91.07,,69,1288368,587164,45.57,14.63
adis,53,53,0,100,TRUE,20,22941,56,1284696,1221950,95.12,,69,1288368,592093,45.96,48.45
adlbef,54,54,0,100,TRUE,36,152994,57,8720658,7753522,88.91,,84,1568448,734678,46.84,9.48
admayo,54,54,0,100,TRUE,90,790256,57,45044592,39897999,88.57,,138,2576736,1518217,58.92,3.81
admh,51,51,0,100,FALSE,0,27869,52,1449188,1341982,92.6,,51,952272,660165,69.33,49.19
adpc,63,63,0,100,TRUE,2,12566,66,829356,796217,96,,61,1138992,818616,71.87,102.81
adsaf,53,53,0,100,TRUE,9,10174,56,569744,528509,92.76,,58,1082976,733829,67.76,138.85
adsf36,49,49,0,100,TRUE,44,154740,52,8046480,7489400,93.08,,87,1624464,683288,42.06,9.12
adsg,43,43,0,100,FALSE,0,6454,44,283976,249430,87.83,,43,802896,515119,64.16,206.52
adsl,106,106,0,100,FALSE,0,1331,107,142417,113848,79.94,,106,1979232,1769082,89.38,1553.9
adtfi,38,38,0,100,FALSE,0,8,41,328,316,96.34,,38,709536,3264,0.46,1032.91
adtfm,28,28,0,100,FALSE,0,292,31,9052,8480,93.68,,28,522816,85158,16.29,1004.22
adtte,33,33,0,100,TRUE,6,3481,34,118354,111814,94.47,,36,672192,542895,80.76,485.53
aduceis,53,53,0,100,TRUE,14,38430,56,2152080,1961727,91.15,,61,1138992,548136,48.12,27.94
advs,52,52,0,100,TRUE,7,82506,55,4537830,4269481,94.09,,55,1026960,813738,79.24,19.06
advscort,40,40,0,100,TRUE,3,39960,43,1718280,1550228,90.22,,39,728208,543780,74.67,35.08
